ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,414.18,128,66.42,8204
4096,2048,340.61,128,64.10,16396
6144,2048,286.71,128,62.82,24588
8192,2048,238.64,128,59.01,32780
10240,2048,198.03,128,55.93,40972
12288,2048,170.52,128,53.56,49164
14336,2048,150.86,128,51.49,57356
16384,2048,136.13,128,50.02,65548
18432,2048,125.27,128,47.69,73740
20480,2048,114.88,128,46.46,81932
22528,2048,102.17,128,44.71,90124
24576,2048,96.02,128,43.20,98316
26624,2048,88.86,128,42.07,106508
28672,2048,83.05,128,40.67,114700
30720,2048,78.60,128,39.84,122892
